srid,proj4text,srtext,sqkm
2010,+proj=tmerc +lat_0=0 +lon_0=-61.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 4"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-61.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2010""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127298945317e-08
2011,+proj=tmerc +lat_0=0 +lon_0=-64.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 5"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-64.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2011""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.2312729770209e-08
2012,+proj=tmerc +lat_0=0 +lon_0=-67.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 6"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-67.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2012""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127297519332e-08
2013,+proj=tmerc +lat_0=0 +lon_0=-70.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 7"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-70.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2013""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127297345378e-08
2014,+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 8"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2014""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.231272977233e-08
2015,+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 9"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2015""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127296996473e-08
2016,+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 10"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2016""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127298224117e-08
2017,+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 8"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-73.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2017""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.231272977233e-08
2018,+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 9"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-76.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2018""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127296996473e-08
2019,+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 10"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-79.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2019""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",2.23127298224117e-08
2020,+proj=tmerc +lat_0=0 +lon_0=-82.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 11"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-82.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2020""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127297966408e-08
2021,+proj=tmerc +lat_0=0 +lon_0=-81 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 12"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2021""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127299001748e-08
2022,+proj=tmerc +lat_0=0 +lon_0=-84 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 13"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-84],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2022""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127295838118e-08
2023,+proj=tmerc +lat_0=0 +lon_0=-87 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 14"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-87],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2023""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127298866258e-08
2024,+proj=tmerc +lat_0=0 +lon_0=-90 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 15"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-90],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2024""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127296762742e-08
2025,+proj=tmerc +lat_0=0 +lon_0=-93 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs ,"PROJCS[""NAD27(76) / MTM zone 16"",GEOGCS[""NAD27(76)"",DATUM[""North_American_Datum_1927_1976"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982139006,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6608""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4608""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-93],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2025""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",2.23127296895487e-08
